SMILES,Activity probability,Cytotoxicity probability,PPB fraction,SA score,Max similarity,Closest known molecule,Neutral SMILES
CC(C)=CCC1(C)Oc2cc3c(=O)c4c(C(C)(C)C)c([O-])ccc4oc(=O)c3cc2C(=O)c2c(C)c([O-])c(C)c(O)c2C1=O,0.872906566,0.654953122,0.9466694,4.53,0.8,O(C(=O)C(=CC)C)C1c2c(ccc3ccc(=O)oc32)OC(C)(C)C1OC(=O)C(C)=CC,CC(C)=CCC1(C)Oc2cc3c(=O)c4c(C(C)(C)C)c(O)ccc4oc(=O)c3cc2C(=O)c2c(C)c(O)c(C)c(O)c2C1=O
Cc1nc2ccccc2c(Cc2cn(CCC[NH2+]CCc3c[n-]cn3)nn2)c1O,0.869915307,0.72987628,0.7192737,4.17,0.67,c12[n+](C)nn(CCCCCCCCC)c1C(=O)c1c(cccc1)C2=O,Cc1nc2ccccc2c(Cc2cn(CCCNCCc3c[nH]cn3)nn2)c1O
CC(C)=CCc1cc([O-])c(CC=C(C)C)c(O)c1C,0.869790018,0.15580602,0.82352555,3.41,0.69,c1c(C(=CC)C)cc(O)c(C)c1O,CC(C)=CCc1cc(O)c(CC=C(C)C)c(O)c1C
CC(=O)NCC1CCC(n2c(=O)c3ccccc3c3[nH]nc(O)c32)CC1,0.867995799,0.960158229,0.9308773,2.74,0.71,c1ccc(C=CCNC2Cc3cn(-c4c5nc(OC)ccc5ncc4)nc3CC2)cc1,CC(=O)NCC1CCC(n2c(=O)c3ccccc3c3[nH]nc(O)c32)CC1
Cc1ncc([N+](=O)[O-])n1CCCO[N+](=O)[O-],0.866116881,0.668013036,0.21972102,2.81,0.75,[N+](c1n(CCN2CCN(C(c3ccccc3)c3ccccc3)CC2)c(C)nc1)(=O)[O-],Cc1ncc([N+](=O)[O-])n1CCCO[N+](=O)[O-]
O=Cc1cc(CCC2Oc3ccccc3C([O-])=CC2=O)cc(F)c1O,0.865723491,0.681343675,0.9211274,3.67,0.67,c12c(c(C)c(O)c(Cl)c1C(=CC)C)OC(=O)c1c(C(C)=CC)cc(O)c(C)c1O2,O=Cc1cc(CCC2Oc3ccccc3C(O)=CC2=O)cc(F)c1O
Cn1cc(C(=O)c2ccc(Cl)c([O-])c2)c(=O)c2cc(F)c(N3CCC(C)([NH2+]C4CC(O)CC4c4ccccc4)C3)nc21,0.862378538,0.95662421,0.850141,4.86,0.77,c12cc(C(=O)O)c(=O)n3c1c(c(N1CC4C(N)CC(OC)CC4C1)c(F)c2)OCC3C,Cn1cc(C(=O)c2ccc(Cl)c(O)c2)c(=O)c2cc(F)c(N3CCC(C)(NC4CC(O)CC4c4ccccc4)C3)nc21
CC(C)=CCCC(O)=CCCC1(c2ccc(F)cc2)OC(O)=C(C(=O)CCI)[NH+]2Cc3c(oc4c(C)ccc([O-])c34)CC21,0.859834015,0.874528825,0.9616766,5.5,0.65,C1(=C(C)NCCOc2ccccc2)C(=O)N2C(C)(COC2C(C)(C)C)C1=O,CC(C)=CCCC(O)=CCCC1(c2ccc(F)cc2)OC(O)=C(C(=O)CCI)N2Cc3c(oc4c(C)ccc(O)c34)CC21
O=C1C([NH2+]CCCC2CCCCC2)CNCCN1c1cccc(Cl)c1,0.858623624,0.877346396,0.8093468,3.59,0.7,C(c1c(Cl)c(C#N)c(Cl)c(Cl)c1Nc1c2nc[nH]c(=O)c2c(N2CCCCC2)cc1)#N,O=C1C(NCCCC2CCCCC2)CNCCN1c1cccc(Cl)c1
CCCC(=O)c1cn(C2CCCCC2)c2ccc(CC(=O)[O-])c(C)c12,0.85269767,0.664779603,0.9480688,2.93,0.6,c12[n+](C)nn(CCCCCCCCC)c1C(=O)c1c(cccc1)C2=O,CCCC(=O)c1cn(C2CCCCC2)c2ccc(CC(=O)O)c(C)c12
CCC(C)c1ccc(C(=O)c2ccc(O)c3c2Oc2c(O)cc([O-])c(CC=C(C)C)c2O3)c(O)c1,0.851207614,0.594199538,0.9528822,3.94,0.81,c1c2c(c(=O)c(CC=C(C)C)c(-c3ccc(O)cc3O)o2)c(O)c(CC=C(C)C)c1O,CCC(C)c1ccc(C(=O)c2ccc(O)c3c2Oc2c(O)cc(O)c(CC=C(C)C)c2O3)c(O)c1
[NH-]C(=O)[N-]C1CCOC(OC(=O)c2c(O)cc([O-])c3ccc(Cl)cc23)C1=O,0.847124279,0.645672441,0.9342069,4.88,0.65,O(c1cnc2c(n1)c(C(O)C(O)C1CCC(NCc3ncc4c(c3)OCCO4)CO1)c(F)cc2)C,NC(=O)NC1CCOC(OC(=O)c2c(O)cc(O)c3ccc(Cl)cc23)C1=O
[O-]c1ccc(-c2c([O-])c(Br)c([O-])c(Br)c2Cl)cc1O,0.846953392,0.598878682,0.9312477,4.24,0.82,c1c(Br)c(O)cc(O)c1C(c1c(Cl)cccc1Cl)c1c(O)cc(O)c(Br)c1,Oc1ccc(-c2c(O)c(Br)c(O)c(Br)c2Cl)cc1O
CC=Cn1c(-c2ccc3oc(-c4ccc(C(F)(F)F)cc4)nc3c2)nc(-c2ccc([O-])cc2)c1C#N,0.8458938,0.690255165,0.98352575,3.33,0.7,c1(C#N)ccc(C=Cc2n(-c3cccc(O)c3)c(=O)c3c(n2)cccc3F)cc1,CC=Cn1c(-c2ccc3oc(-c4ccc(C(F)(F)F)cc4)nc3c2)nc(-c2ccc(O)cc2)c1C#N
CC[NH+](CC)C(=O)c1ccc([O-])c(C(=O)c2cc(C)c(-c3ccc(O)cc3)c3ncccc23)c1,0.844262481,0.846109867,0.9334961,3.56,0.7,COc1c2c(=O)n3c(c(CNCCCCCCCCC)c2ccc1OC)-c1cc(OC)c(OC)cc1CC3,CCN(CC)C(=O)c1ccc(O)c(C(=O)c2cc(C)c(-c3ccc(O)cc3)c3ncccc23)c1
C=C(C)c1c([O-])c([O-])c(CC=C(C)C)c2c1OC(C)(C)C1(C)CCC2(CC=C(C)C)C(=O)C1,0.843450606,0.659146249,0.90824044,5.72,0.77,c12c(c(O)cc(O)c1)C(=O)C1(Cl)C(CC3C(=C)CCC(Br)C3(C)C)(OC(C)(C)C(Cl)C1)C2=O,C=C(C)c1c(O)c(O)c(CC=C(C)C)c2c1OC(C)(C)C1(C)CCC2(CC=C(C)C)C(=O)C1
Cc1ccc(C)c(C(=O)NCCc2cc([O-])c3c(c2O)C(=O)C2=C(OC(C)(C)OC2(C)C)C3=O)c1[O-],0.842179835,0.735633373,0.88461554,3.89,0.67,NC(CC1C(O)C(C(=O)NC(C2Cc3cccc(O)c3C(=O)O2)CC(C)C)OCN1)=O,Cc1ccc(C)c(C(=O)NCCc2cc(O)c3c(c2O)C(=O)C2=C(OC(C)(C)OC2(C)C)C3=O)c1O
NCC=CC(=O)OCC(O)C#CC1CCCCC1,0.841911852,0.486769497,0.4351202,3.69,0.53,O(c1c2c(cc(CO)c1)ccc(-c1ccc(O)c(C34CC5CC(CC(C3)C5)C4)c1)c2)CCN,NCC=CC(=O)OCC(O)C#CC1CCCCC1
NCCCCC[NH2+]C(=S)NCCc1c[nH]c2ccccc12,0.840919614,0.560059011,0.34213495,3.12,0.61,c1cc2c(cc1C1=NCCN1)[nH]c(-c1ccc(-c3[nH]c4c(ccc(C5=NCCN5)c4)c3)cc1)c2,NCCCCCNC(=S)NCCc1c[nH]c2ccccc12
Cc1cc([N-]S(=O)(=O)c2ccc3c4ccc(C#N)cc4c(=O)[nH]n23)no1,0.836791694,0.681500733,0.9351675,3.68,0.76,O=S(c1cc(C(=O)n2c3c(c(=O)[nH]2)cc(C#N)cc3)ccc1)(=O)N1CCc2ccccc21,Cc1cc(NS(=O)(=O)c2ccc3c4ccc(C#N)cc4c(=O)[nH]n23)no1
CC(C)(O)CCC(O)C1[NH2+]c2cccc3c2c(cn3CCCCCCN)C1=O,0.836035788,0.587915599,0.6195129,4.34,0.72,c12c(cccc1)[nH]c1c(C3C4C56C(C(O)(C3O)CCC=CCCCCN(CC4)C5)NCCCCCCCC6)nccc21,CC(C)(O)CCC(O)C1Nc2cccc3c2c(cn3CCCCCCN)C1=O
C#CC#CC=CC[n+]1ccc(-c2nc3ccccc3n2CCCCCCCCCCC)c(O)n1,0.835143507,0.516885161,0.988736,3.47,0.73,C1N(Cn2c(=O)n(CCCn3cncc3)c(C)n2)CCCC1,C#CC#CC=CC[n+]1ccc(-c2nc3ccccc3n2CCCCCCCCCCC)c(O)n1
CC(=O)[NH+]1CC(C)[NH+](C(=O)C(C)N)C1C(=O)NC(CCC(C)C)C(=O)[NH+]1CCCC1C(=O)NC(C(=O)C(=O)[N-]c1ccc(Oc2ccccc2)cc1)C(C)C,0.832936823,0.895672441,0.6479236,6.38,0.72,C(C(NC(=O)NCCCN(C)c1c2nc(C(C)(C)C)ccc2cc(OC)c1)C(O)=O)c1cnc[nH]1,CC(=O)N1CC(C)N(C(=O)C(C)N)C1C(=O)NC(CCC(C)C)C(=O)N1CCCC1C(=O)NC(C(=O)C(=O)Nc1ccc(Oc2ccccc2)cc1)C(C)C
CC(C)=CCc1c(O)cc([O-])c2c1C(=O)C(=O)C=C([O-])C2=O,0.831807017,0.52434665,0.820202,3.91,0.7,C(C)(C(=O)OC(CC=C(C)C)C1=CC(=O)c2c(c(O)ccc2O)C1=O)CC,CC(C)=CCc1c(O)cc(O)c2c1C(=O)C(=O)C=C(O)C2=O
CC(C)OC(=O)c1cc(-c2nc3cccc(C(=[NH2+])N(C)C)c3[n-]2)c([O-])cc1O,0.829974294,0.679665983,0.49018633,4.14,0.66,c1c(C(C)(C)C)cc(-c2nc3ccc(C(=N)N)cc3o2)c(O)c1C(C)(C)C,CC(C)OC(=O)c1cc(-c2nc3cccc(C(=N)N(C)C)c3[nH]2)c(O)cc1O
C=C(C)c1c(O)c2c(c3c1C1C(=O)CC(O)(OC)C1c1c-3ccc(C)c1[O-])OC(C)(C)C(OC(C)=O)C2,0.827912688,0.625970721,0.8963987,5.1,0.84,c1cc(O)c2c(=O)c3c(cc(C)c4c3C(O)C(C(C)=C)CO4)oc2c1CC(C(O)(C)C)OC=O,C=C(C)c1c(O)c2c(c3c1C1C(=O)CC(O)(OC)C1c1c-3ccc(C)c1O)OC(C)(C)C(OC(C)=O)C2
CCCCCCCCCCCCCCC(=O)c1c([O-])cc(O)cc1O,0.827251434,0.358091384,0.937454,2.63,0.7,c1c(C(=O)O)cc(O)c(C(CCC(C(C)C)O)(O)C)c1,CCCCCCCCCCCCCCC(=O)c1c(O)cc(O)cc1O
COc1cc2c(cc1[O-])CC(=O)C(=c1oc(=O)c3c(c1Br)-c1cccnc1C(=N[NH2+]C(N)=S)C=3)C2=O,0.822810829,0.884598136,0.7614435,4.39,0.66,c1c2c(cc(-c3csc(NN=Cc4c(-c5cc(Cl)sc5Cl)n[nH]c4)n3)c(=O)o2)cc(Br)c1,COc1cc2c(cc1O)CC(=O)C(=c1oc(=O)c3c(c1Br)-c1cccnc1C(=NNC(N)=S)C=3)C2=O
C=CC(C)CC(=O)C1C(C(C)C)[NH2+]C2C(NC(=O)OC3CC(N4[NH2+]C(C)C(N)C4=O)C(=O)N4C(N)C(OC)C(O)C34)C(=O)N21,0.822029412,0.900519311,0.49595892,6.6,0.61,N(N1C(N)=NNC12c1cc(C)ccc1NC2=O)=Cc1ccc(O)c(OC)c1,C=CC(C)CC(=O)C1C(C(C)C)NC2C(NC(=O)OC3CC(N4NC(C)C(N)C4=O)C(=O)N4C(N)C(OC)C(O)C34)C(=O)N21
COc1cc(CN(C=O)C(=O)C=Cc2ccc(Oc3ccc(Cl)cc3Cl)cc2)ccc1[O-],0.820192337,0.840055823,0.9853985,2.91,0.63,c1cc(OCc2cc(=O)c(Oc3c(Cl)cccc3Cl)cn2C)ccc1,COc1cc(CN(C=O)C(=O)C=Cc2ccc(Oc3ccc(Cl)cc3Cl)cc2)ccc1O
CCCCc1oc2cc([O-])cc(O)c2c(=O)c1Cc1cc(C)c(Cl)cc1[O-],0.819394946,0.75787127,0.96879196,3.57,0.69,O1C(=O)c2c(CCC)c(Cl)c(O)c(Cl)c2Oc2c(CCC)c(Cl)c(OC)c(Cl)c21,CCCCc1oc2cc(O)cc(O)c2c(=O)c1Cc1cc(C)c(Cl)cc1O
Cc1ccc(C[NH2+]C(C(C)C)C(O)C(Cc2c[n-]cn2)NC(=O)OC2CCCCC2(C)C)cc1,0.818448842,0.888907552,0.8538101,5.13,0.7,C(C(NC(=O)NCCCN(C)c1c2nc(C(C)(C)C)ccc2cc(OC)c1)C(O)=O)c1cnc[nH]1,Cc1ccc(CNC(C(C)C)C(O)C(Cc2c[nH]cn2)NC(=O)OC2CCCCC2(C)C)cc1
[O-]c1ccc([O-])c(CNc2ccnc3cc(Cl)ccc23)c1,0.818061888,0.667811334,0.9120624,3.21,0.76,c12cc(OC)c(OCc3ccc(C(F)(F)F)cc3)cc1c(Nc1ccc(F)c(Cl)c1)ccn2,Oc1ccc(O)c(CNc2ccnc3cc(Cl)ccc23)c1
CC(C)=CCCC(C)=CCc1c([O-])cc(C=C(C#N)c2cc(Cl)c(Cl)[nH]2)cc1O,0.816283822,0.4873963,0.9769632,3.66,0.59,CC12C(C3(C)Cc4c5c([nH]c4C(C)(C)C3CC1)c(OC)ccc5)CC=C1C3C(C)C(C)CCC3(C(=O)OC)CCC12C,CC(C)=CCCC(C)=CCc1c(O)cc(C=C(C#N)c2cc(Cl)c(Cl)[nH]2)cc1O
CCCCCCCNCCCCc1c[n-]cn1,0.812968135,0.180765927,0.595402,3.29,0.6,CCC(c1cc(C2CN3C(CN)CC2CC3)nc(-c2ccncc2)n1)CC,CCCCCCCNCCCCc1c[nH]cn1
CCCCCCc1cc(=O)c2c(n1CC)C(=O)c1c([O-])cc(C3Oc4cc(OC)cc(C)c4C(O)CC3O)c(O)c1C2=O,0.804615796,0.879637778,0.9384796,4.61,0.72,c1c(O)c(OC)cc2oc3c(c(O)c4c(c3O)CCc3cc5c(c(O)c3-4)C(=O)N3C(C)(C5)OCC3)c(=O)c12,CCCCCCc1cc(=O)c2c(n1CC)C(=O)c1c(O)cc(C3Oc4cc(OC)cc(C)c4C(O)CC3O)c(O)c1C2=O
O=C([O-])C(Cn1ccnc1)C(O)c1ccc([O-])c(O)c1,0.803309023,0.491316974,0.31408927,4.34,0.58,O1COc2cc3c4c(ccc5c6ccc(OC)c(O)c6c[n+](c54)CC3)c21,O=C(O)C(Cn1ccnc1)C(O)c1ccc(O)c(O)c1
CC=CC(C)=CCc1c(OCCCCCCCCC2CC2)ccc(C=CC(=O)C=Cc2c(C)c(C)c(O)c(C)c2[O-])c1O,0.8018924,0.682343483,0.96848714,3.62,0.7,C(=CCOc1cc(O)c(C(=O)C)c(O)c1CC1=C(O)C(C)(CC=C(C)C)C(O)=C(C(C)=O)C1=O)(C)C,CC=CC(C)=CCc1c(OCCCCCCCCC2CC2)ccc(C=CC(=O)C=Cc2c(C)c(C)c(O)c(C)c2O)c1O
NC(=O)CCOc1cnc([N-]S(=O)(=O)c2ccc(Oc3cc(Cl)ccc3-c3ccncc3)c(Cl)c2)s1,0.800963998,0.790186465,0.9856742,3.37,0.69,c1(NS(c2cc(C(F)(F)F)cc(F)c2)(=O)=O)cc(OC)c(-n2cnc(Cl)c2)cc1,NC(=O)CCOc1cnc(NS(=O)(=O)c2ccc(Oc3cc(Cl)ccc3-c3ccncc3)c(Cl)c2)s1
CCC1OC2(CCCC2(C)C)c2c(F)cc3c(I)ccc([O-])c3c(=O)c21,0.794085324,0.800863624,0.9540214,5.01,0.64,COc1c2c(ccc1C(C)C)C13COC(OCOCC)(CCC1)C3CC2,CCC1OC2(CCCC2(C)C)c2c(F)cc3c(I)ccc(O)c3c(=O)c21
Oc1n[nH]c2c(N3CCCCC3)ncnc12,0.790862501,0.430117726,0.2119587,2.76,0.71,c1(N2CCNCC2)c2c3c(cc1)C(=O)N(Nc1nccs1)C(=O)c3ccc2,Oc1n[nH]c2c(N3CCCCC3)ncnc12
